runId,symbol,dateEt,strategy,feed,entryEt,entryMin,entryPx,exitEt,exitMin,holdMin,exitPx,pnlPct,reason,won,entryVwap,entryWindowHigh,entryVolx,distVwapPct,distWinHighPct,generatedUtc
779697fa6cd6,ADVB,2026-07-20,ADVB Breakout-Pullback (7.85),SIP,04:07,247,8.1,04:56,296,49,7.39,-8.77,StopLoss,0,7.6657,8.57,1.55,5.6655,-5.4842,2026-07-20T16:24:41.8103736
25d89560dde3,ADVB,2026-07-20,ADVB Intraday Momentum (repeat),SIP,04:01,241,7.51,04:21,261,20,8.34,11.05,TrailingStop,1,7.3034,7.75,1.62,2.8288,-3.0968,2026-07-20T16:24:59.5745012
25d89560dde3,ADVB,2026-07-20,ADVB Intraday Momentum (repeat),SIP,09:20,560,6.66,09:28,568,8,6.68,0.3,SellByTime,1,6.6391,7.3012,3.72,0.3148,-8.7821,2026-07-20T16:24:59.5745012
a91046231eda,BIYA,2026-07-20,BIYA Gapper — Classic Gapper,SIP,04:41,281,5.5,09:14,554,273,7.8137,42.07,PeakGiveback,1,5.601,6.16,2.07,-1.8032,-10.7143,2026-07-20T16:25:01.8099285
d7e2a61cd1be,ZYBT,2026-07-20,ZYBT Gapper — Classic Gapper,SIP,08:56,536,1.01,09:03,543,7,0.9201,-8.9,StopLoss,0,0.895,1.0623,7.4,12.8492,-4.9233,2026-07-20T18:07:04.4730146
cccbba9a6ced,GMM,2026-07-20,GMM Gapper — Classic Gapper,SIP,04:32,272,2.8595,04:33,273,1,2.6644,-6.82,StopLoss,0,2.9712,3.28,7.52,-3.7594,-12.8201,2026-07-20T18:07:05.2992224
e2642f6676d6,ADVB,2026-07-20,ADVB Gapper — Classic Gapper,SIP,04:56,296,7.39,05:23,323,27,6.99,-5.41,StopLoss,0,8.1023,9.18,2.44,-8.7913,-19.4989,2026-07-20T18:07:05.6908673
fbaae8fbb112,IREX,2026-07-20,IREX Gapper — Classic Gapper,SIP,05:49,349,12.64,09:14,554,205,13.59,7.52,PeakGiveback,1,12.3465,12.64,3.89,2.3772,0,2026-07-20T18:07:06.0466897
ccda063a1010,IREG,2026-07-20,IREG Gapper — Classic Gapper,SIP,05:34,334,6.99,09:14,554,220,7.65,9.44,PeakGiveback,1,6.9123,7.01,2.16,1.1241,-0.2853,2026-07-20T18:07:06.5372469
c6f35344087b,IRE,2026-07-20,IRE Gapper — Classic Gapper,SIP,05:23,323,8.82,09:14,554,231,9.715,10.15,PeakGiveback,1,8.6884,8.91,2.15,1.5147,-1.0101,2026-07-20T18:07:07.0090611
5494947e82c2,ADVB,2026-07-20,ADVB Intraday Momentum (repeat),SIP,04:01,241,7.51,04:21,261,20,8.34,11.05,TrailingStop,1,7.3034,7.75,1.62,2.8288,-3.0968,2026-07-20T18:15:13.3796887
5494947e82c2,ADVB,2026-07-20,ADVB Intraday Momentum (repeat),SIP,09:20,560,6.66,09:28,568,8,6.68,0.3,SellByTime,1,6.6391,7.3012,3.72,0.3148,-8.7821,2026-07-20T18:15:13.3796887
33f6dd5f9d70,BE,2026-07-20,BE Reversal (EMA9 reclaim off lows),SIP,06:51,411,211.01,09:48,588,177,205.55,-2.59,TrailingStop,0,212.3124,215.56,2.62,-0.6134,-2.1108,2026-07-20T18:41:31.2500795
33f6dd5f9d70,BE,2026-07-20,BE Reversal (EMA9 reclaim off lows),SIP,12:20,740,203.18,14:25,865,125,204.135,0.47,EndOfData,1,202.9445,220,8.57,0.116,-7.6455,2026-07-20T18:41:31.2500795
4836887515a0,AMD,2026-07-20,AMD EMA200 break (trend reclaim),SIP,11:42,702,514.58,14:25,865,163,515.5501,0.19,EndOfData,1,514.5138,533.67,1.44,0.0129,-3.5771,2026-07-20T18:41:33.7425789
a864b1d8353c,AAPL,2026-07-20,AAPL Intraday Momentum (repeat),SIP,05:29,329,333.5644,09:28,568,239,332.2446,-0.4,SellByTime,0,333.4829,334.33,1.99,0.0244,-0.229,2026-07-20T19:26:18.2552852
3e48ff8664aa,GOOG,2026-07-20,GOOG Intraday Momentum (repeat),SIP,07:16,436,347.35,09:28,568,132,350.14,0.8,SellByTime,1,347.3446,348.04,1.56,0.0016,-0.1983,2026-07-20T20:16:25.6488201
11d7e8d71ae2,GOOG,2026-07-20,GOOG RTH open-drive (ride then trail out),SIP,09:29,569,350.35,15:54,954,385,351.665,0.38,SellByTime,1,348.4493,351.2,2.3,0.5455,-0.242,2026-07-20T20:28:34.8549256
3f40e3aca468,NVDA,2026-07-20,"NVDA Short-fade (failed high, below VWAP)",SIP,09:31,571,205.405,15:54,954,383,203.2819,1.03,SellByTime,1,205.7539,206.88,5.05,-0.1696,-0.713,2026-07-20T20:53:50.8120216
